מזהה_בקשה,מחוז,אזור,סוג_מבנה,שטח_מבוקש_מ2,שטח_חקלאי_דונם,מספר_בעלי_חיים,מרחק_מכביש_מטר,מרחק_ממגורים_מטר,גובה_מבנה_מטר,פנלים_סולאריים,ייעוד_חקלאי,עמידה_בתמא,מכתב_המלצה,סטטוס_אישור,סיבת_ההחלטה
AG-2024-0150,מחוז חיפה,ערבה,אורווה,380,74,24,170,995.9,7.1,כן,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0151,מחוז ירושלים,שרון,בריכת דגים,46,134,0,101.3,109.5,4.6,לא,כן,כן,לא,מאושר,""
AG-2024-0152,מחוז ירושלים,שפלה,בית אריזה תות שדה,518,86,0,178,923.4,1.7,כן,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0153,מחוז מרכז,גליל,יקב,133,114,0,27,879.2,7.9,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0154,מחוז ירושלים,חוף הכרמל,אורווה,413,20,6,152.9,49.5,9,לא,כן,כן,כן,מאושר,""
AG-2024-0155,מחוז מרכז,בקעת הירדן,בית אריזה פרחים,63,186,0,74.4,888.7,11.2,כן,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0156,מחוז ירושלים,עמקים,מכון רדייה,1006,146,0,172.1,353.9,7.3,לא,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0157,מחוז צפון,נגב,בית בד,208,13,0,108.8,984.9,7.2,כן,כן,כן,כן,מאושר,""
AG-2024-0158,מחוז ירושלים,גולן,כבשייה,701,48,61,43,15.3,7.5,כן,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0159,מחוז דרום,חוף הכרמל,רפת,623,40,285,129.6,164.7,2.3,כן,כן,כן,לא,מאושר,""
AG-2024-0160,מחוז דרום,גולן,בריכת דגים,797,74,0,65.2,620.1,5.8,כן,כן,כן,כן,מאושר,""
AG-2024-0161,מחוז תל אביב,נגב,בריכת דגים,621,154,0,161.2,565.4,3.7,לא,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0162,מחוז מרכז,עמקים,כבשייה,50,184,207,127.5,118.5,11.1,כן,כן,כן,כן,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0163,מחוז ירושלים,גליל,סככת ציוד,583,55,0,9,656.2,8.9,כן,כן,כן,לא,דרוש תיקון,"מרחק מכביש נמוך"
AG-2024-0164,מחוז חיפה,שרון,כבשייה,64,192,477,165.6,78.3,10,לא,לא,לא,לא,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0165,מחוז ירושלים,בקעת הירדן,כבשייה,157,27,355,46.7,309.6,7.8,לא,לא,לא,לא,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0166,מחוז צפון,בקעת הירדן,מחסן חקלאי,282,59,0,14.1,129.7,1.7,לא,כן,כן,כן,מאושר,""
AG-2024-0167,מחוז מרכז,גליל,בית אריזה תות שדה,248,77,0,58.6,245.5,9.2,לא,כן,כן,כן,מאושר,""
AG-2024-0168,מחוז מרכז,בקעת הירדן,חממת קנאביס רפואי,1386,23,0,152.2,788.7,6.8,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0169,מחוז ירושלים,ערבה,חממה,1719,153,0,136.6,764.8,10.5,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0170,מחוז מרכז,בקעת הירדן,יקב,427,53,0,33,404.4,10.1,לא,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0171,מחוז מרכז,גליל,בית אריזה פרחים,224,177,0,164.2,103.9,9.8,כן,כן,כן,לא,מאושר,""
AG-2024-0172,מחוז צפון,נגב,חממת קנאביס רפואי,1311,177,0,38.8,867.7,8.1,לא,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0173,מחוז צפון,נגב,כבשייה,558,182,461,26.1,99.5,10.7,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0174,מחוז מרכז,ערבה,בית אריזה תות שדה,354,175,0,63.1,228.2,7.5,לא,כן,כן,כן,מאושר,""
AG-2024-0175,מחוז ירושלים,שרון,מכון רדייה,1089,20,0,160.1,728.4,8.4,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0176,מחוז מרכז,עמקים,מחסן חקלאי,218,87,0,159,433.6,4.5,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0177,מחוז חיפה,חוף הכרמל,אורווה,121,114,6,154.4,920.1,11.2,לא,כן,כן,כן,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0178,מחוז מרכז,בקעת הירדן,חממה,285,93,0,98.3,405.4,10.8,לא,כן,כן,לא,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0179,מחוז דרום,שפלה,יקב,601,41,0,172.4,873.6,7.8,כן,כן,כן,לא,מאושר,""
AG-2024-0180,מחוז תל אביב,ערבה,מחסן חקלאי,643,144,0,167.2,419.5,11.2,לא,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0181,מחוז חיפה,חוף הכרמל,חממה,755,36,0,119.5,862.5,2.5,לא,כן,כן,לא,מאושר,""
AG-2024-0182,מחוז חיפה,גולן,בית אריזה תות שדה,262,183,0,197.6,345.3,5.4,לא,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0183,מחוז צפון,גולן,יקב,239,154,0,65.6,140.4,9.8,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0184,מחוז מרכז,גולן,בית אריזה פרחים,612,109,0,23.9,640,6.6,כן,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0185,מחוז ירושלים,נגב,בית אריזה פרחים,509,158,0,168.8,135,3.3,לא,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0186,מחוז תל אביב,גליל,אורווה,431,127,17,121.5,927.6,7.1,כן,כן,כן,לא,מאושר,""
AG-2024-0187,מחוז ירושלים,ערבה,יקב,628,43,0,49.1,793,10.4,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0188,מחוז חיפה,עמקים,רפת,693,173,131,173.5,332.5,9.1,כן,כן,כן,כן,מאושר,""
AG-2024-0189,מחוז מרכז,גולן,מחסן קירור,421,174,0,57.4,216.7,2.2,כן,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0190,מחוז ירושלים,חוף הכרמל,מחסן קירור,569,120,0,78.9,925.9,2.1,לא,כן,כן,כן,מאושר,""
AG-2024-0191,מחוז דרום,ערבה,בית אריזה,234,88,0,177.4,717.9,11.2,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0192,מחוז ירושלים,גליל,כבשייה,464,180,306,42.7,395.2,2.2,כן,כן,כן,כן,מאושר,""
AG-2024-0193,מחוז תל אביב,גליל,בריכת דגים,189,149,0,9.2,811.1,6.3,כן,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0194,מחוז חיפה,חוף הכרמל,יקב,206,25,0,29,798.7,11.4,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0195,מחוז מרכז,נגב,חממה,1979,197,0,52.8,693.1,7.2,כן,כן,כן,לא,דרוש תיקון,"חסר מכתב המלצה לבנייה גדולה"
AG-2024-0196,מחוז צפון,שרון,חממה,2159,37,0,198.1,340.1,3.7,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0197,מחוז דרום,שרון,בית אריזה תות שדה,186,53,0,114.7,270.2,6.9,כן,לא,לא,לא,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0198,מחוז ירושלים,חוף הכרמל,בית אריזה פרחים,119,165,0,76.2,831.9,8.4,כן,כן,כן,לא,מאושר,""
AG-2024-0199,מחוז צפון,ערבה,מחסן קירור,690,19,0,95,198.4,5.5,לא,כן,כן,לא,מאושר,""
AG-2024-0200,מחוז מרכז,שפלה,כבשייה,672,176,497,92.7,124.4,6.7,כן,כן,כן,כן,מאושר,""
AG-2024-0201,מחוז חיפה,גליל,מכון רדייה,196,160,0,99.7,495.5,3.3,לא,כן,כן,לא,מאושר,""
AG-2024-0202,מחוז דרום,גולן,מחסן חקלאי,269,141,0,5.2,951.1,9.1,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0203,מחוז חיפה,חוף הכרמל,מחסן קירור,787,197,0,97.4,519,2.2,לא,כן,כן,כן,מאושר,""
AG-2024-0204,מחוז ירושלים,ערבה,בית אריזה תות שדה,467,38,0,87.6,554,3,לא,כן,כן,כן,מאושר,""
AG-2024-0205,מחוז חיפה,שפלה,מכון רדייה,712,92,0,81.5,425.7,2.4,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0206,מחוז חיפה,נגב,סככת ציוד,625,78,0,104.6,696.3,6.6,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0207,מחוז חיפה,חוף הכרמל,כבשייה,703,113,284,45,624.6,3.5,לא,כן,כן,כן,מאושר,""
AG-2024-0208,מחוז מרכז,נגב,בית אריזה,232,54,0,187.4,668.3,9.1,כן,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0209,מחוז חיפה,שפלה,מחסן חקלאי,134,129,0,195.6,977.5,7.9,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0210,מחוז דרום,עמקים,בית בד,202,16,0,13.1,242.3,2,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0211,מחוז צפון,שרון,סככת ציוד,112,125,0,189,23,9.7,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0212,מחוז צפון,בקעת הירדן,בית אריזה תות שדה,397,198,0,185.8,757.9,1.5,לא,כן,כן,כן,מאושר,""
AG-2024-0213,מחוז ירושלים,ערבה,חממה,1660,69,0,8.2,596.6,2.1,לא,כן,כן,לא,דרוש תיקון,"מרחק מכביש נמוך; חסר מכתב המלצה לבנייה גדולה"
AG-2024-0214,מחוז ירושלים,שפלה,בית אריזה תות שדה,68,114,0,7.8,73.1,6.8,לא,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0215,מחוז ירושלים,שרון,מחסן קירור,306,142,0,141.8,441.9,11.1,לא,כן,כן,לא,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0216,מחוז צפון,גולן,כבשייה,601,27,339,96,702.9,7.3,כן,כן,כן,כן,מאושר,""
AG-2024-0217,מחוז ירושלים,בקעת הירדן,סככת ציוד,696,44,0,111.2,276.4,6.2,כן,כן,כן,כן,מאושר,""
AG-2024-0218,מחוז דרום,גולן,בית אריזה תות שדה,374,158,0,8,890.9,9.2,כן,כן,כן,לא,דרוש תיקון,"מרחק מכביש נמוך"
AG-2024-0219,מחוז דרום,חוף הכרמל,מחסן קירור,365,62,0,134.3,787,3.1,כן,כן,כן,לא,מאושר,""
AG-2024-0220,מחוז דרום,גולן,בית בד,276,97,0,11.1,118.2,4.8,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0221,מחוז צפון,בקעת הירדן,אורווה,180,38,13,74.9,45.2,7.4,לא,כן,כן,לא,מאושר,""
AG-2024-0222,מחוז ירושלים,גליל,מחסן קירור,284,116,0,198.6,581,6.8,כן,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0223,מחוז צפון,נגב,כבשייה,60,14,197,59.1,932.3,10.7,לא,כן,כן,לא,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0224,מחוז דרום,גליל,מחסן קירור,151,30,0,34.1,503.9,10.7,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0225,מחוז תל אביב,שרון,יקב,344,58,0,57.2,954.7,5.9,כן,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0226,מחוז מרכז,נגב,מחסן קירור,144,195,0,152.1,178.6,6.6,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0227,מחוז צפון,שפלה,בית אריזה פרחים,178,162,0,24.6,626.1,2.5,כן,כן,כן,כן,מאושר,""
AG-2024-0228,מחוז ירושלים,ערבה,בית אריזה פרחים,468,109,0,23.6,460.3,3.3,כן,כן,כן,לא,מאושר,""
AG-2024-0229,מחוז תל אביב,נגב,יקב,165,12,0,99.8,381.2,9.4,לא,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0230,מחוז חיפה,עמקים,סככת ציוד,150,15,0,161.2,357.4,5.7,כן,כן,כן,כן,מאושר,""
AG-2024-0231,מחוז דרום,ערבה,סככת ציוד,419,5,0,41.2,699.2,1.8,כן,כן,כן,לא,מאושר,""
AG-2024-0232,מחוז דרום,ערבה,רפת,298,106,181,36.3,816.5,1.5,לא,כן,כן,לא,מאושר,""
AG-2024-0233,מחוז מרכז,גליל,כבשייה,589,53,205,104,148.3,4.2,לא,כן,כן,כן,מאושר,""
AG-2024-0234,מחוז צפון,גולן,לול,572,127,74345,31.2,577.3,8.7,לא,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0235,מחוז ירושלים,עמקים,יקב,589,101,0,63.7,523.2,3.1,כן,כן,כן,לא,מאושר,""
AG-2024-0236,מחוז ירושלים,עמקים,מכון רדייה,159,108,0,157.3,391.2,11.2,לא,כן,כן,לא,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0237,מחוז ירושלים,גולן,רפת,338,61,242,93.4,525.8,5.6,לא,כן,כן,לא,מאושר,""
AG-2024-0238,מחוז חיפה,גליל,יקב,194,9,0,40.5,560.2,9.4,לא,כן,כן,לא,מאושר,""
AG-2024-0239,מחוז תל אביב,ערבה,חממה,1914,100,0,81.4,576.8,8.3,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0240,מחוז מרכז,חוף הכרמל,סככת ציוד,629,142,0,75.9,35.6,6.9,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0241,מחוז ירושלים,בקעת הירדן,מחסן חקלאי,715,8,0,187.8,527.8,7.1,לא,כן,כן,כן,מאושר,""
AG-2024-0242,מחוז ירושלים,גליל,חממת קנאביס רפואי,2198,27,0,140.4,737.8,8.1,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא; חממת קנאביס מעל 2000 מ2"
AG-2024-0243,מחוז צפון,חוף הכרמל,יקב,172,99,0,22.5,511.4,2.3,כן,כן,כן,לא,מאושר,""
AG-2024-0244,מחוז תל אביב,נגב,יקב,489,180,0,83.6,749,7.2,לא,כן,כן,לא,מאושר,""
AG-2024-0245,מחוז ירושלים,בקעת הירדן,יקב,202,88,0,125.6,596.4,7.7,כן,כן,כן,כן,מאושר,""
AG-2024-0246,מחוז מרכז,גליל,בית אריזה תות שדה,146,175,0,35.3,629.1,7.2,לא,כן,כן,כן,מאושר,""
AG-2024-0247,מחוז צפון,חוף הכרמל,בית אריזה תות שדה,633,143,0,49,695.6,4.8,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0248,מחוז דרום,גליל,מכון רדייה,593,154,0,147.2,758.5,6.5,כן,לא,לא,לא,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0249,מחוז מרכז,חוף הכרמל,חממה,1790,100,0,96.8,70.8,3.1,לא,כן,כן,כן,מאושר,""
AG-2024-0250,מחוז תל אביב,חוף הכרמל,מכון רדייה,685,185,0,188.1,242,8.2,כן,כן,כן,כן,מאושר,""
AG-2024-0251,מחוז צפון,חוף הכרמל,לול,646,191,83738,36.4,157,10.1,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0252,מחוז מרכז,נגב,סככת ציוד,431,44,0,142,459.4,7,כן,כן,כן,לא,מאושר,""
AG-2024-0253,מחוז מרכז,בקעת הירדן,בית בד,267,106,0,44.6,934.4,7,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0254,מחוז תל אביב,שרון,בית אריזה,322,187,0,108.6,61.7,3.5,לא,כן,כן,כן,מאושר,""
AG-2024-0255,מחוז דרום,נגב,בית אריזה תות שדה,700,81,0,108,831.9,8,כן,כן,כן,לא,מאושר,""
AG-2024-0256,מחוז ירושלים,ערבה,בית בד,604,63,0,75.4,468.3,1.7,לא,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0257,מחוז חיפה,נגב,מחסן קירור,152,187,0,85.3,978.1,8.6,לא,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0258,מחוז תל אביב,נגב,רפת,379,164,115,185,55.1,3.5,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0259,מחוז ירושלים,נגב,יקב,310,133,0,162.4,955.3,5.2,לא,כן,כן,כן,מאושר,""
AG-2024-0260,מחוז צפון,נגב,בית אריזה תות שדה,302,20,0,80.2,875.2,1.6,לא,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0261,מחוז חיפה,ערבה,חממת קנאביס רפואי,300,9,0,15.8,160.7,5.5,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0262,מחוז חיפה,גליל,כבשייה,541,31,262,159,119.9,4.8,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0263,מחוז מרכז,חוף הכרמל,מחסן קירור,599,52,0,57.9,822,4,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0264,מחוז ירושלים,שרון,בית אריזה תות שדה,759,58,0,189.2,939.2,2.3,כן,כן,כן,כן,מאושר,""
AG-2024-0265,מחוז חיפה,שפלה,בריכת דגים,104,32,0,73.6,201.3,3.4,לא,כן,כן,כן,מאושר,""
AG-2024-0266,מחוז תל אביב,עמקים,בריכת דגים,481,138,0,143.5,544.7,1.9,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0267,מחוז מרכז,חוף הכרמל,לול,463,104,72310,154.9,309,7,כן,כן,כן,כן,מאושר,""
AG-2024-0268,מחוז ירושלים,עמקים,חממת קנאביס רפואי,1236,164,0,199,781.1,3.8,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0269,מחוז מרכז,נגב,לול,328,28,75449,25.6,619.1,2.4,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0270,מחוז מרכז,חוף הכרמל,חממת קנאביס רפואי,1517,157,0,104.3,656.5,4.3,לא,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0271,מחוז ירושלים,בקעת הירדן,סככת ציוד,736,190,0,190.4,290,7.4,כן,כן,כן,כן,מאושר,""
AG-2024-0272,מחוז מרכז,שרון,מחסן חקלאי,629,82,0,190.1,804.7,10.4,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0273,מחוז ירושלים,נגב,כבשייה,135,13,493,123,589,9.8,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0274,מחוז דרום,עמקים,חממת קנאביס רפואי,956,195,0,91.2,397.3,7.1,כן,כן,כן,כן,מאושר,""
AG-2024-0275,מחוז תל אביב,נגב,לול,535,25,46031,23.5,97.4,5.8,לא,כן,כן,כן,נדחה,"לול - מרחק ממגורים פחות מ-100מ"
AG-2024-0276,מחוז תל אביב,שרון,אורווה,455,130,6,55.8,654.2,10.8,כן,לא,לא,לא,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0277,מחוז מרכז,גולן,מחסן חקלאי,329,132,0,170.1,296.1,11.4,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0278,מחוז דרום,ערבה,מחסן חקלאי,59,145,0,25.3,702.9,7.8,לא,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0279,מחוז ירושלים,נגב,בית אריזה תות שדה,336,25,0,67.8,396.5,10.7,כן,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0280,מחוז חיפה,גולן,בית אריזה פרחים,33,126,0,52.7,575.7,9.3,לא,כן,כן,כן,מאושר,""
AG-2024-0281,מחוז דרום,בקעת הירדן,רפת,241,7,101,38.6,261.1,6.5,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0282,מחוז ירושלים,ערבה,מחסן חקלאי,790,22,0,53.9,404.1,5.2,לא,כן,כן,לא,מאושר,""
AG-2024-0283,מחוז מרכז,ערבה,בית אריזה,343,73,0,192.4,750.2,2.1,כן,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0284,מחוז דרום,חוף הכרמל,כבשייה,50,119,455,177.5,38.5,3.8,כן,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0285,מחוז דרום,גולן,בריכת דגים,67,199,0,160.2,833.5,7.8,כן,כן,כן,לא,מאושר,""
AG-2024-0286,מחוז תל אביב,גליל,בית אריזה תות שדה,707,199,0,43.9,405.6,2.8,כן,כן,כן,כן,מאושר,""
AG-2024-0287,מחוז ירושלים,שפלה,יקב,212,46,0,141.7,774.1,9.5,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0288,מחוז צפון,גליל,בית בד,520,197,0,161.1,309.9,9.8,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0289,מחוז מרכז,גליל,בית אריזה,355,26,0,106.1,879.5,11.3,לא,כן,כן,לא,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0290,מחוז מרכז,ערבה,מחסן חקלאי,208,78,0,163.9,832.5,7.1,כן,כן,כן,לא,מאושר,""
AG-2024-0291,מחוז מרכז,שפלה,מחסן חקלאי,342,69,0,67.3,907.3,10.5,כן,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0292,מחוז מרכז,ערבה,רפת,431,69,263,114.6,196.8,10.2,כן,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0293,מחוז ירושלים,ערבה,בית אריזה תות שדה,466,20,0,87.7,517.5,10.2,לא,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0294,מחוז חיפה,ערבה,מכון רדייה,385,149,0,99.3,345.6,6.6,כן,כן,כן,כן,מאושר,""
AG-2024-0295,מחוז ירושלים,גליל,מכון רדייה,1073,11,0,189.6,774.5,7.4,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0296,מחוז ירושלים,חוף הכרמל,רפת,497,83,130,163.7,693.6,5.2,כן,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0297,מחוז דרום,ערבה,אורווה,419,98,10,180.2,43.1,2.6,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0298,מחוז חיפה,ערבה,בית אריזה תות שדה,455,86,0,126.7,103.3,7.4,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0299,מחוז חיפה,חוף הכרמל,בית אריזה תות שדה,78,175,0,44.2,185.6,6.2,לא,כן,כן,לא,מאושר,""
AG-2024-0300,מחוז תל אביב,בקעת הירדן,בית אריזה,557,118,0,52.8,253.2,3.3,לא,כן,כן,כן,מאושר,""
